@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
54.55,20,33,13,9.94,7.59,0.81,9.94,795.3,99.41,113.63,2,1.143044,PASSED
63.64,19,32,13,8.08,6.43,0.86,8.08,646.3,80.79,108.84,1,1.347196,PASSED
54.55,21,33,12,9.72,7.45,0.78,9.72,777.4,97.18,123.07,2,1.266413,PASSED
54.55,19,32,13,7.02,5.73,1.05,7.02,561.3,70.16,107.76,2,1.535918,PASSED
54.55,19,32,13,4.7,4.07,0.72,4.7,376.4,47.05,59.6,2,1.266738,PASSED
54.55,19,32,13,6.7,5.51,0.99,6.7,536.3,67.04,101.2,2,1.509547,PASSED
45.45,16,32,16,5.97,5,0.78,5.97,477.7,59.71,98.72,3,1.653324,PASSED
63.64,19,33,14,8,6.38,0.84,8,639.9,79.99,101.54,1,1.269409,PASSED
54.55,21,35,14,10.65,8.01,0.81,10.65,852.1,106.51,130.74,2,1.22749,PASSED
63.64,19,32,13,7.79,6.24,0.82,7.79,623.5,77.94,103.24,1,1.324609,PASSED
63.64,19,33,14,8.19,6.5,0.71,8.19,654.9,81.86,91.11,1,1.112998,PASSED
63.64,19,32,13,7.77,6.23,0.82,7.77,621.3,77.66,102.71,1,1.32256,PASSED
54.55,22,37,15,9.45,7.29,0.77,9.45,755.9,94.49,114.86,2,1.215578,PASSED
54.55,21,34,13,10.45,7.89,0.88,10.45,835.8,104.48,117.81,2,1.127584,PASSED
63.64,22,37,15,6.78,5.57,0.71,6.78,542.4,67.8,89.77,1,1.324041,PASSED
